medcodeid,term
4848961000006110,Closed fracture dislocation lunate (volar)
4848971000006115,Closed fracture dislocation perilunate (dorsal)
4848981000006117,Closed fracture dislocation perilunate transscaphoid
4849001000006119,Open fracture dislocation of distal radioulnar joint
4849021000006112,Open fracture dislocation radiocarpal joint
4849031000006110,Open fracture dislocation midcarpal
4849041000006117,Open fracture dislocation carpometacarpal joint
4849051000006115,Open fracture dislocation lunate (volar)
4849061000006118,Open fracture dislocation perilunate (dorsal)
4849071000006113,Open fracture dislocation perilunate transscaphoid
4849091000006114,Closed fracture subluxation of distal radioulnar joint
4849101000006115,Closed fracture subluxation radiocarpal joint
4849111000006117,Closed fracture subluxation midcarpal
4849121000006113,Closed fracture subluxation of carpometacarpal joint
4849131000006111,Closed fracture subluxation lunate (volar)
4849141000006118,Closed fracture subluxation perilunate (dorsal)
4849151000006116,Closed fracture subluxation perilunate transscaphoid
4849161000006119,Open fracture subluxation of the wrist
4849171000006114,Open fracture subluxation of distal radioulnar joint
4849181000006112,Open fracture subluxation radiocarpal joint
4849191000006110,Open fracture subluxation midcarpal
4849201000006113,Open fracture subluxation of carpometacarpal joint
4849211000006111,Open fracture subluxation lunate (volar)
4849221000006115,Open fracture subluxation perilunate (dorsal)
4849231000006117,Open fracture subluxation perilunate transscaphoid
485443016,"Closed fracture of radius and ulna, lower end"
49851000006119,Open volar Barton fracture-dislocation
49861000006117,Open volar Barton fracture-subluxation
507904017,"Open fracture of radius and ulna, lower end"
52291000006115,Open Smith's fracture
54541000006116,Closed fracture of wrist
5460591000006116,Fracture dislocation of wrist joint
5460601000006112,Fracture dislocation of radiocarpal joint
5460611000006110,Fracture dislocation of midcarpal joint
5460621000006119,Fracture dislocation of lunate
5460631000006116,Fracture dislocation of perilunate joint
5460811000006111,Fracture subluxation of superior radioulnar joint
5460821000006115,Fracture subluxation of wrist
5460831000006117,Fracture subluxation of distal radioulnar joint
5460841000006110,Fracture subluxation of radiocarpal joint
5460861000006114,Fracture subluxation of midcarpal joint
5460881000006116,Fracture subluxation of lunate
5460891000006118,Fracture subluxation of perilunate joint
5461991000006116,Fracture of distal end of radius
5462011000006116,Volar Barton's fracture
5462021000006112,Volar Barton fracture
5462031000006110,Dorsal Barton's fracture
5462041000006117,Dorsal Barton fracture
5462081000006111,Fracture of distal end of ulna
5462121000006113,Fracture of distal end of radius and ulna
5526311000006115,Galeazzi fracture dislocation
5526321000006111,Galeazzi's fracture of radius
559791000006116,Closed dorsal Barton's fracture
561311000006117,Closed dorsal Barton fracture-subluxation
561321000006113,Closed dorsal Barton's fracture-dislocation
565251000006112,Closed fracture dislocation distal radioulnar joint
5652521000006111,Transscaphoid-perilunate fracture dislocation
5652531000006114,Transscaphoid-capitate-perilunate fracture dislocation
5652541000006116,Transscaphoid-capitate-hamate-triquetral-perilunate fracture dislocation
5652551000006119,Transstyloid-perilunate fracture dislocation
5652561000006117,Transstyloid-scaphoid-perilunate fracture dislocation
5652571000006112,Volar transscaphoid-lunate fracture dislocation
5652681000006114,Fracture of radial styloid
5652711000006110,Fracture of ulnar styloid
565301000006117,Closed fracture-dislocation lunate (volar)
565311000006119,Closed fracture-dislocation mid carpal
565361000006116,Closed fracture-dislocation peri-lunate (dorsal)
565371000006111,Closed fracture-dislocation peri-lunate trans-scaphoid
565381000006114,Closed fracture-dislocation radiocarpal joint
565411000006112,Closed fracture-dislocation superior radio-ulnar joint
565431000006118,"Closed fracture dislocation, carpometacarpal joint"
565621000006118,Closed fracture-subluxation lunate (volar)
565631000006115,Closed fracture-subluxation mid carpal
565671000006117,Closed fracture subluxation of the wrist
565691000006116,Closed fracture-subluxation peri-lunate (dorsal)
565701000006116,Closed fracture-subluxation peri-lunate trans-scaphoid
565711000006118,Closed fracture-subluxation radiocarpal joint
565741000006119,Closed fracture-subluxation superior radio-ulnar joint
565761000006115,"Closed fracture-subluxation, carpometacarpal joint"
565781000006113,"Closed fracture-subluxation, distal radio-ulnar jt"
569501000006112,Closed volar Barton fracture-subluxation
569521000006119,Closed volar Barton's fracture-dislocation
5965291000006111,Fracture dislocation of carpometacarpal joint
5965301000006112,Fracture dislocation distal radioulnar joint
5971961000006118,Open Barton fracture
5971981000006111,Closed Barton fracture
7309751000006118,Pathological fracture of distal radius
7479051000006117,Open fracture of bone of wrist and/or hand
7517901000006111,Open reduction of fracture of wrist bone without internal fixation
7587861000006118,Closed fracture of distal epiphysis of radius
7588731000006118,Secondary osteoporotic fracture of ulna
7588791000006119,Secondary osteoporotic fracture of radius
7598601000006118,Closed fracture of navicular bone of wrist with dislocation of perilunate joint
7642261000006115,Closed reduction of fracture of distal radius and percutaneous fixation using Kirschner wire
7642271000006110,Closed reduction and percutaneous K-wire fixation of fracture of distal radius
7663151000006114,Pathological fracture of distal radius and distal ulna
7663161000006111,Pathological fracture of lower end of both ulna and radius
793411000006114,Fracture of scaphoid bone of wrist
793921000006113,Fracture dislocation or subluxation of wrist
895561000006112,Colles fracture
895571000006117,Fracture of distal end of ulna
