readcode	readterm
B660.00	Acute monocytic leukaemia
B661.00	Chronic monocytic leukaemia
B662.00	Subacute monocytic leukaemia
B663.00	Acute monoblastic leukaemia
B66y.00	Other monocytic leukaemia
B66yz00	Other monocytic leukaemia NOS
B66z.00	Monocytic leukaemia NOS
B67..00	Other specified leukaemia
B670.00	Acute erythraemia and erythroleukaemia
B670.11	Di Guglielmo's disease
B671.00	Chronic erythraemia
B672.00	Megakaryocytic leukaemia
B672.11	Thrombocytic leukaemia
B673.00	Mast cell leukaemia
B674.00	Acute panmyelosis
B675.00	Acute myelofibrosis
B676.00	Acute erythroid leukaemia
B677.00	Myelodysplastic and myeloproliferative disease
B67y.00	Other and unspecified leukaemia
B67y000	Lymphosarcoma cell leukaemia
B67yz00	Other and unspecified leukaemia NOS
B67z.00	Other specified leukaemia NOS
B68..00	Leukaemia of unspecified cell type
B680.00	Acute leukaemia NOS
B681.00	Chronic leukaemia NOS
B682.00	Subacute leukaemia NOS
B68y.00	Other leukaemia of unspecified cell type
B68z.00	Leukaemia NOS
B69..00	Myelomonocytic leukaemia
B690.00	Acute myelomonocytic leukaemia
B691.00	Chronic myelomonocytic leukaemia
B692.00	Subacute myelomonocytic leukaemia
B693.00	Juvenile myelomonocytic leukaemia
B6y..00	Malignant neoplasm lymphatic or haematopoietic tissue OS
B6y1.12	Osteomyelofibrosis
B6z..00	Malignant neoplasm lymphatic or haematopoietic tissue NOS
B6z0.00	Kaposi's sarcoma of lymph nodes
B76D.00	Multiple self-healing epithelioma of Ferguson-Smith
B911013	Choriocarcinoma
B936.11	Myeloma - solitary
B936.12	Plasmacytoma NOS
B93X.00	Neo/uncertn+unknwn behav/lymph,h'matopetc+rel tiss,unspcf
BB02.00	[M]Neoplasm, malignant
BB04.00	[M]Neoplasm, malig, uncertain whether primary or metastatic
BB07.00	[M]Tumour cells, malignant
BB08.00	[M]Malignant tumour, small cell type
BB09.00	[M]Malignant tumour, giant cell type
BB0A.00	[M]Malignant tumour, fusiform cell type
BB12.00	[M]Carcinoma NOS
BB14.00	[M]Carcinomatosis
BB16.00	[M]Epithelioma, malignant
BB17.00	[M]Large cell carcinoma NOS
BB18.00	[M]Carcinoma, undifferentiated type, NOS
BB19.00	[M]Carcinoma, anaplastic type, NOS
BB1A.00	[M]Pleomorphic carcinoma
BB1B.00	[M]Giant cell and spindle cell carcinoma
BB1C.00	[M]Giant cell carcinoma
BB1D.00	[M]Spindle cell carcinoma
BB1E.00	[M]Pseudosarcomatous carcinoma
BB1F.00	[M]Polygonal cell carcinoma
BB1G.00	[M]Spheroidal cell carcinoma
BB1J.00	[M]Small cell carcinoma NOS
BB1J.12	[M]Round cell carcinoma
BB1K.00	[M]Oat cell carcinoma
BB1L.00	[M]Small cell carcinoma, fusiform cell type
BB1M.00	[M]Small cell carcinoma, intermediate cell
BB1N.00	[M]Small cell-large cell carcinoma
BB1P.00	[M]Non-small cell carcinoma
BB22.00	[M]Papillary carcinoma NOS
BB24.00	[M]Verrucous carcinoma NOS
BB24.11	[M]Verrucous epidermoid carcinoma
BB24.12	[M]Verrucous squamous cell carcinoma
BB26.00	[M]Papillary squamous cell carcinoma
BB26.11	[M]Papillary epidermoid carcinoma
BB2A.00	[M]Squamous cell carcinoma NOS
BB2A.11	[M]Epidermoid carcinoma NOS
BB2A.12	[M]Spinous cell carcinoma
BB2C.00	[M]Squamous cell carcinoma, keratinising type NOS
BB2C.11	[M]Epidermoid carcinoma, keratinising type
BB2D.00	[M]Squamous cell carcinoma, large cell, non-keratinising
BB2E.00	[M]Squamous cell carcinoma, small cell, non-keratinising
BB2F.00	[M]Squamous cell carcinoma, spindle cell type
BB2G.00	[M]Adenoid squamous cell carcinoma
BB2J.00	[M]Squamous cell carcinoma, microinvasive
BB2M.00	[M]Lymphoepithelial carcinoma
BB43.00	[M]Transitional cell carcinoma NOS
BB43.11	[M]Urothelial carcinoma
BB46.00	[M]Schneiderian carcinoma
BB47.00	[M]Transitional cell carcinoma, spindle cell type
BB48.00	[M]Basaloid carcinoma
BB49.00	[M]Cloacogenic carcinoma
BB4A.00	[M]Papillary transitional cell carcinoma
BB4B.00	[M]Grade 1 (Stage pTa) papillary urothelial/transit cell ca
BB4C.00	[M]Grade 2 (Stage pTa) papillary urothelial/transit cell ca
BB4D.00	[M]Grade 3 (Stage pTa) papillary urothelial/transit cell ca
BB5..11	[M]Adenocarcinomas
BB52.00	[M]Adenocarcinoma NOS
BB52000	[M]Adenocarcinoma in tubulovillous adenoma
BB54.00	[M]Scirrhous adenocarcinoma
BB55.00	[M]Linitis plastica
BB56.00	[M]Superficial spreading adenocarcinoma
BB57.00	[M]Adenocarcinoma, intestinal type
BB58.00	[M]Carcinoma, diffuse type
BB5B100	[M]Islet cell carcinoma
BB5B300	[M]Insulinoma, malignant
BB5B500	[M]Glucagonoma, malignant
BB5B600	[M]Mixed islet cell and exocrine adenocarcinoma
BB5C100	[M]Gastrinoma, malignant
BB5C111	[M]G cell tumour, malignant
BB5D.11	[M]Biliary tract adenomas and adenocarcinomas
BB5D100	[M]Cholangiocarcinoma
BB5D111	[M]Bile duct carcinoma
BB5D300	[M]Bile duct cystadenocarcinoma
BB5D500	[M]Hepatocellular carcinoma NOS
BB5D512	[M]Hepatoma, malignant
BB5D513	[M]Liver cell carcinoma
BB5D700	[M]Combined hepatocellular carcinoma and cholangiocarcinoma
BB5D711	[M]Hepatocholangiocarcinoma
BB5D800	[M]Hepatocellular carcinoma, fibrolamellar
BB5F.00	[M]Trabecular adenocarcinoma
BB5J.00	[M]Adenoid cystic carcinoma
BB5J.11	[M]Cylindroid adenocarcinoma
BB5J.12	[M]Cylindroid bronchial adenoma
BB5K.00	[M]Cribriform carcinoma
BB5L100	[M]Adenocarcinoma in adenomatous polyp
BB5L300	[M]Adenocarcinoma in multiple adenomatous polyps
BB5M100	[M]Tubular adenocarcinoma
BB5N100	[M]Adenocarcinoma in adenomatous polposis coli
BB5P.00	[M]Solid carcinoma NOS
BB5Q.00	[M]Carcinoma simplex
BB5R100	[M]Carcinoid tumour, malignant
BB5R111	[M]Carcinoid bronchial adenoma
BB5R300	[M]Carcinoid tumour, argentaffin, malignant
BB5R500	[M]Carcinoid tumour, nonargentaffin, malignant
BB5R600	[M]Mucocarcinoid tumour, malignant
BB5R611	[M]Goblet cell tumour
BB5R800	[M]Adenocarcinoid tumour
BB5R900	[M]Neuroendocrine carcinoma
BB5S200	[M]Bronchiolo-alveolar adenocarcinoma
BB5S211	[M]Alveolar cell carcinoma
BB5S212	[M]Bronchiolar carcinoma
BB5S400	[M]Alveolar adenocarcinoma
BB5T100	[M]Papillary adenocarcinoma NOS
BB5U100	[M]Adenocarcinoma in villous adenoma
BB5U200	[M]Villous adenocarcinoma
BB5V100	[M]Chromophobe carcinoma
BB5V311	[M]Eosinophil carcinoma
BB5V700	[M]Basophil carcinoma
BB5V711	[M]Mucoid cell carcinoma
BB5W100	[M]Oxyphilic adenocarcinoma
BB5W111	[M]Hurthle cell adenocarcinoma
BB5W112	[M]Oncytic adenocarcinoma
BB5X100	[M]Clear cell adenocarcinoma NOS
BB5a000	[M]Renal cell carcinoma
BB5a011	[M]Grawitz tumour
BB5a012	[M]Hypernephroma
BB5b.00	[M]Granular cell carcinoma
BB5c200	[M]Water-clear cell adenocarcinoma
BB5f100	[M]Follicular adenocarcinoma NOS
BB5f111	[M]Follicular carcinoma
BB5f200	[M]Follicular adenocarcinoma, well differentiated type
BB5f300	[M]Follicular adenocarcinoma, trabecular type
BB5f600	[M]Papillary and follicular adenocarcinoma
BB5f700	[M]Nonencapsulated sclerosing carcinoma
BB5h100	[M]Adrenal cortical carcinoma
BB5j200	[M]Endometrioid carcinoma
BB5j500	[M]Endometrioid adenofibroma, malignant
BB5y000	[M]Basal cell adenocarcinoma
BB5y100	[M]Vipoma
BB5y200	[M]Klatskin's tumour
BB71.00	[M]Mucoepidermoid carcinoma
BB80100	[M]Cystadenocarcinoma NOS
BB80200	[M]Borderline mucinous cystadenoma of the ovary
BB81100	[M]Serous cystadenoma, borderline malignancy
BB81200	[M]Serous cystadenocarcinoma, NOS
BB81400	[M]Papillary cystadenoma, borderline malignancy
BB81500	[M]Papillary cystadenocarcinoma, NOS
BB81800	[M]Papillary serous cystadenocarcinoma
BB81B00	[M]Serous surface papillary carcinoma
BB81D00	[M]Mucinous cystadenoma, borderline malignancy
BB81E00	[M]Mucinous cystadenocarcinoma NOS
BB81E11	[M]Pseudomucinous adenocarcinoma
BB81G00	[M]Papillary mucinous cystadenoma, borderline malignancy
BB81H00	[M]Papillary mucinous cystadenocarcinoma
BB81J00	[M]Serous cystadenoma, borderline malignancy
BB81K00	[M]Papillary cystadenoma, borderline malignancy
BB81M00	[M]Papillary serous cystadenoma, borderline malignancy
BB82100	[M]Mucinous adenocarcinoma
BB82111	[M]Colloid adenocarcinoma
BB82112	[M]Gelatinous adenocarcinoma
BB82113	[M]Mucoid adenocarcionoma
BB82114	[M]Mucous adenocarcinoma
BB84.00	[M]Mucin-producing adenocarcinoma
BB85.00	[M]Signet ring carcinoma
BB85000	[M]Signet ring cell carcinoma
BB85z00	[M]Signet ring carcinoma NOS
BB91.00	[M]Infiltrating duct carcinoma
BB91.11	[M]Duct carcinoma NOS
BB91000	[M]Intraductal papillary adenocarcinoma with invasion
BB91100	[M]Infiltrating duct and lobular carcinoma
BB93.00	[M]Comedocarcinoma NOS
BB94.00	[M]Juvenile breast carcinoma
BB94.11	[M]Secretory breast carcinoma
BB9B.00	[M]Medullary carcinoma NOS
BB9B.11	[M]C cell carcinoma
BB9B.12	[M]Parafollicular cell carcinoma
BB9C.00	[M]Medullary carcinoma with amyloid stroma
BB9C.11	[M]Solid carcinoma with amyloid stroma
BB9D.00	[M]Medullary carcinoma with lymphoid stroma
BB9F.00	[M]Lobular carcinoma NOS
BB9G.00	[M]Infiltrating ductular carcinoma
BB9H.00	[M]Inflammatory carcinoma
BB9J.00	[M]Paget's disease, mammary
BB9J.11	[M]Paget's disease, breast
BB9K.00	[M]Paget's disease and infiltrating breast duct carcinoma
BB9K000	[M]Paget's disease and intraductal carcinoma of breast
BB9L.00	[M]Paget's disease, extramammary, exc Paget's disease bone
BB9M.00	[M]Intracystic carcinoma NOS
BBA2.00	[M]Acinar cell carcinoma
BBB0.00	[M]Adenosquamous carcinoma
BBB2.00	[M]Adenocarcinoma with squamous metaplasia
BBB2.11	[M]Adenoacanthoma
BBB3.00	[M]Adenocarcinoma with cartilaginous and osseous metaplasia
BBB4.00	[M]Adenocarcinoma with spindle cell metaplasia
BBB5.00	[M]Adenocarcinoma with apocrine metaplasia
BBB6100	[M]Thymoma, malignant
BBB7.00	[M]Epithelial-myoepithelial carcinoma
BBC4.00	[M]Granulosa cell tumour, malignant
BBCA.00	[M]Sertoli cell carcinoma
BBCC100	[M]Leydig cell tumour, malignant
BBCC111	[M]Interstitial cell tumour, malignant
BBD1.00	[M]Paraganglioma, malignant
BBDA.00	[M]Phaeochromocytoma, malignant
BBDA.11	[M]Phaeochromoblastoma
BBDB.00	[M]Glomangiosarcoma
BBDB.11	[M]Glomoid sarcoma
BBE1.00	[M]Malignant melanoma NOS
BBE1.11	[M]Melanocarcinoma
BBE1.13	[M]Melanosarcoma NOS
BBE1.14	[M]Naevocarcinoma
BBE1000	[M]Malignant melanoma, regressing
BBE1100	[M]Desmoplastic melanoma, malignant
BBE2.00	[M]Nodular melanoma
BBE4.00	[M]Balloon cell melanoma
BBEA.00	[M]Amelanotic melanoma
BBEC.00	[M]Malignant melanoma in junctional naevus
BBEE.00	[M]Malignant melanoma in precancerous melanosis
BBEG.00	[M]Malignant melanoma in Hutchinson's melanotic freckle
BBEG.11	[M]Lentigo maligna melanoma
BBEG000	[M]Acral lentiginous melanoma, malignant
BBEH.00	[M]Superficial spreading melanoma
BBEM.00	[M]Malignant melanoma in giant pigmented naevus
BBEP.00	[M]Epithelioid cell melanoma
BBEQ.00	[M]Spindle cell melanoma NOS
BBES.00	[M]Spindle cell melanoma, type B
BBET.00	[M]Mixed epithelioid and spindle melanoma
BBF1.00	[M]Sarcoma NOS
BBF3.00	[M]Spindle cell sarcoma
BBF4.00	[M]Giant cell sarcoma (except of bone)
BBF4.11	[M]Pleomorphic cell sarcoma
BBF5.00	[M]Small cell sarcoma
BBF5.11	[M]Round cell sarcoma
BBF6.00	[M]Epithelioid cell sarcoma
BBG1.00	[M]Fibrosarcoma NOS
BBG3.00	[M]Fibromyxosarcoma
BBG5.00	[M]Periosteal fibrosarcoma
BBG8.00	[M]Infantile fibrosarcoma
BBG8.11	[M]Congenital fibrosarcoma
BBGF.00	[M]Fibrous histiocytoma, malignant
BBGJ.00	[M]Fibroxanthoma, malignant
BBGJ.11	[M]Fibroxanthosarcoma
BBGP.00	[M]Pigmented dermatofibrosarcoma protuberans
BBH1.00	[M]Myxosarcoma
BBJ1.00	[M]Liposarcoma NOS
BBJ1.11	[M]Fibroliposarcoma
BBJ3.00	[M]Liposarcoma, well differentiated type
BBJ5.00	[M]Myxoid liposarcoma
BBJ5.11	[M]Embryonal liposarcoma
BBJ5.12	[M]Myxoliposarcoma
BBJ6.00	[M]Round cell liposarcoma
BBJ7.00	[M]Pleomorphic liposarcoma
BBJ8.00	[M]Mixed type liposarcoma
BBJB100	[M]Angiomyoliposarcoma
BBJH.00	[M]Dedifferentiated liposarcoma
BBK0200	[M]Leiomyosarcoma NOS
BBK0400	[M]Epithelioid leiomyosarcoma
BBK0700	[M]Myxoid leiomyosarcoma
BBK1100	[M]Angiomyosarcoma
BBK2100	[M]Myosarcoma
BBK3100	[M]Rhabdomyosarcoma NOS
BBK3200	[M]Pleomorphic rhabdomyosarcoma
BBK3300	[M]Mixed cell rhabdomyosarcoma
BBK3600	[M]Embryonal rhabdomyosarcoma
BBK3611	[M]Sarcoma botryoides
BBK3700	[M]Alveolar rhabdomyosarcoma
BBL0.00	[M]Endometrial stromal sarcoma
BBL4.00	[M]Mixed tumour, malignant, NOS
BBL5.00	[M]Mullerian mixed tumour
BBL6.00	[M]Mesodermal mixed tumour
BBL7100	[M]Nephroblastoma NOS
BBL7111	[M]Adenosarcoma
BBL7112	[M]Wilms' tumour
BBL7300	[M]Mesenchymal nephroblastoma
BBL8.00	[M]Hepatoblastoma
BBL8.11	[M]Embryonal hepatoma
BBL9.00	[M]Carcinosarcoma NOS
BBLA.00	[M]Carcinosarcoma, embryonal type
BBLA.11	[M]Pneumoblastoma
BBLC100	[M]Mesenchymoma, malignant
BBLD.00	[M]Embryonal sarcoma
BBLE.00	[M]Adenosarcoma
BBLG.00	[M]Carcinoma in pleomorphic adenoma
BBLH.00	[M]Rhabdoid sarcoma
BBLJ.00	[M]Clear cell sarcoma of kidney
BBLK.00	[M]Pancreatoblastoma
BBLM.00	[M]Pulmonary blastoma
BBM0100	[M]Brenner tumour, malignant
BBM9.00	[M]Cystosarcoma phyllodes, malignant
BBN1.00	[M]Synovial sarcoma NOS
BBN2.00	[M]Synovial sarcoma, spindle cell type
BBN4.00	[M]Synovial sarcoma, biphasic type
BBN5.00	[M]Clear cell sarcoma of tendons and aponeuroses
BBP1.00	[M]Mesothelioma, malignant
BBP3.00	[M]Fibrous mesothelioma, malignant
BBP3.11	[M]Sarcomatoid mesothelioma
BBP5.00	[M]Epithelioid mesothelioma, malignant
BBP7.00	[M]Mesothelioma, biphasic type, malignant
BBPX.00	[M]Mesothelioma, unspecified
BBQ0.00	[M]Dysgerminoma
BBQ1.00	[M]Seminomas
BBQ1000	[M]Seminoma, anaplastic type
BBQ1100	[M]Spermatocytic seminoma
BBQ1z00	[M]Seminoma NOS
BBQ2.00	[M]Germinoma
BBQ3.00	[M]Embryonal carcinoma NOS
BBQ4.00	[M]Endodermal sinus tumour
BBQ4.12	[M]Orchioblastoma
BBQ4.14	[M]Yolk sac tumour
BBQ5.00	[M]Polyembryoma
BBQ6.11	[M]Gonocytoma
BBQ7200	[M]Teratoma, malignant, NOS
BBQ7211	[M]Embryonal teratoma
BBQ7212	[M]Immature teratoma
BBQ7213	[M]Teratoblastoma, malignant
BBQ7300	[M]Teratocarcinoma
BBQ7400	[M]Malignant teratoma, undifferentiated type
BBQ7500	[M]Malignant teratoma, intermediate type
BBQ9.00	[M]Dermoid cyst with malignant transformation
BBQA100	[M]Struma ovarii, malignant
BBQB.00	[M]Mixed germ cell tumour
BBR2.00	[M]Choriocarcinoma
BBR3.00	[M]Choriocarcinoma combined with teratoma
BBR4.00	[M]Malignant teratoma, trophoblastic
BBT1.00	[M]Haemangiosarcoma
BBT1.11	[M]Angiosarcoma
BBT5.00	[M]Kupffer cell sarcoma
BBT7100	[M]Haemangioendothelioma, malignant
BBTA.00	[M]Kaposi's sarcoma
BBTD.00	[M]Haemangiopericytic neoplasms
BBTD200	[M]Haemangiopericytoma, malignant
BBTK.00	[M]Epithelioid haemangioendothelioma, malignant
BBU1.00	[M]Lymphangiosarcoma
BBV..11	[M]Juxtacortical osteogenic sarcoma
BBV..12	[M]Parosteal osteosarcoma
BBV..13	[M]Periosteal osteogenic sarcoma
BBV1.00	[M]Osteosarcoma NOS
BBV1.11	[M]Osteoblastic sarcoma
BBV1.12	[M]Osteochondrosarcoma
BBV1.13	[M]Osteogenic sarcoma NOS
BBV2.00	[M]Chondroblastic osteosarcoma
BBV3.00	[M]Fibroblastic osteosarcoma
BBV3.11	[M]Osteofibrosarcoma
BBV4.00	[M]Telangiectatic osteosarcoma
BBV5.00	[M]Osteosarcoma in Paget's disease of bone
BBV9.00	[M]Myxoid chondrosarcoma
BBVA.00	[M] Small cell osteosarcoma
BBW4.00	[M]Chondrosarcoma NOS
BBW4.11	[M]Fibrochondrosarcoma
BBW6.00	[M]Juxtacortical chondrosarcoma
BBW8.00	[M]Chondroblastoma, malignant
BBW9.00	[M]Mesenchymal chondrosarcoma
BBX1.00	[M]Giant cell tumour of bone, malignant
BBX1.11	[M]Giant cell bone sarcoma
BBX1.12	[M]Osteoclastoma, malignant
BBX3.00	[M]Malignant giant cell tumour of soft parts
BBY0.00	[M]Ewing's sarcoma
BBY0.11	[M]Endothelial bone sarcoma
BBY1.00	[M]Adamantinoma of long bones
BBY1.11	[M]Tibial adamantinoma
BBZ2.00	[M]Odontogenic tumour, malignant
BBZ2.11	[M]Intraosseous carcinoma
BBZC.00	[M]Ameloblastic odontosarcoma
BBZG.00	[M]Ameloblastoma, malignant
BBZG.11	[M]Adamantinoma, malignant
BBZN.00	[M]Ameloblastic fibrosarcoma
BBZN.11	[M]Odontogenic fibrosarcoma
BBa3.00	[M]Pineoblastoma
BBa5.00	[M]Chordoma
BBb..00	[M]Gliomas
BBb0.00	[M]Glioma, malignant
BBb0.11	[M]Glioma NOS
BBb0.12	[M]Gliosarcoma
BBb1.00	[M]Gliomatosis cerebri
BBb2.00	[M]Mixed glioma
BBb2.11	[M]Mixed glioma
BBb6.00	[M]Choroid plexus papilloma, malignant
BBb7.00	[M]Ependymoma NOS
BBb8.00	[M]Ependymoma, anaplastic type
BBb8.11	[M]Ependymoblastoma
BBbB.00	[M]Astrocytoma NOS
BBbB.11	[M]Astrocytic glioma
BBbC.00	[M]Astrocytoma, anaplastic type
BBbD.00	[M]Protoplasmic astrocytoma
BBbE.00	[M]Gemistocytic astrocytoma
BBbE.11	[M]Gemistocytoma
BBbF.00	[M]Fibrillary astrocytoma
BBbG.00	[M]Pilocytic astrocytoma
BBbG.11	[M]Juvenile astrocytoma
BBbG.12	[M]Piloid astrocytoma
BBbH.00	[M]Spongioblastoma NOS
BBbJ.00	[M]Spongioblastoma polare
BBbK.00	[M]Astroblastoma
BBbL.00	[M]Glioblastoma NOS
BBbL.11	[M]Glioblastoma multiforme
BBbM.00	[M]Giant cell glioblastoma
BBbQ.00	[M]Oligodendroglioma NOS
BBbR.00	[M]Oligodendroglioma, anaplastic type
BBbS.00	[M]Oligodendroblastoma
BBbT.00	[M]Medulloblastoma NOS
BBbU.00	[M]Desmoplastic medulloblastoma
BBbV.00	[M]Medullomyoblastoma
BBbW.00	[M]Cerebellar sarcoma NOS
BBbZ.00	[M]Pleomorphic xanthoastrocytoma
BBba.00	[M]Primitive neuroectodermal tumour
BBba000	[M]Peripheral neuroectodermal tumour
BBbz.00	[M]Glioma NOS
BBc..00	[M]Neuroepitheliomatous neoplasms
BBc0100	[M]Ganglioneuroblastoma
BBc1.00	[M]Neuroblastoma NOS
BBc2.00	[M]Medulloepithelioma NOS
BBc3.00	[M]Teratoid medulloepithelioma
BBc4.00	[M]Neuroepithelioma NOS
BBc9.00	[M]Retinoblastomas
BBc9000	[M]Retinoblastoma, differentiated type
BBc9100	[M]Retinoblastoma, undifferentiated type
BBc9z00	[M]Retinoblastoma NOS
BBcA.00	[M]Olfactory neurogenic tumour
BBcC.00	[M]Aesthesioneuroblastoma
BBcC.11	[M]Olfactory neuroblastoma
BBcD.11	[M]Olfactory neuroepithelioma
BBcz.00	[M]Neuroepitheliomatous neoplasm NOS
BBd2.00	[M]Meningioma, malignant
BBd2.11	[M]Leptomeningeal sarcoma
BBd2.12	[M]Meningothelial sarcoma
BBdB.00	[M]Meningeal sarcomatosis
BBe2.00	[M]Neurofibrosarcoma
BBe7.00	[M]Neurilemmoma, malignant
BBe7.11	[M]Schwannoma, malignant
BBe9.00	[M]Triton tumour, malignant
BBf2.00	[M]Alveolar soft part sarcoma
BBg..00	[M]Lymphomas, NOS or diffuse
BBg1.00	[M]Malignant lymphoma NOS
BBg1.11	[M]Lymphoma NOS
BBg1000	[M]Malignant lymphoma, diffuse NOS
BBg2.00	[M]Malignant lymphoma, non Hodgkin's type
BBg2.11	[M]Non Hodgkins lymphoma
BBg3.00	[M]Malignant lymphoma, undifferentiated cell type NOS
BBg4.00	[M]Malignant lymphoma, stem cell type
BBg5.00	[M]Malignant lymphoma, convoluted cell type NOS
BBg6.00	[M]Lymphosarcoma NOS
BBg7.00	[M]Malignant lymphoma, lymphoplasmacytoid type
BBg8.00	[M]Malignant lymphoma, immunoblastic type
BBgA.00	[M]Malignant lymphoma, centroblastic-centrocytic, diffuse
BBgB.00	[M]Malignant lymphoma, follicular centre cell NOS
BBgC.00	[M]Malignant lymphoma, lymphocytic, well differentiated NOS
BBgC.11	[M]Lymphocytic lymphoma NOS
BBgC.12	[M]Lymphocytic lymphosarcoma NOS
BBgD.00	[M]Malig lymphoma, lymphocytic, intermediate different NOS
BBgE.00	[M]Malignant lymphoma, centrocytic
BBgG.00	[M]Malignant lymphoma, lymphocytic, poorly different NOS
BBgG.11	[M]Lymphoblastic lymphosarcoma NOS
BBgG.12	[M]Lymphoblastic lymphoma NOS
BBgG.13	[M]Lymphoblastoma NOS
BBgH.00	[M]Prolymphocytic lymphosarcoma
BBgJ.00	[M]Malignant lymphoma, centroblastic type NOS
BBgJ.11	[M]Germinoblastic sarcoma NOS
BBgK.00	[M]Malig lymphoma, follicular centre cell, non-cleaved NOS
BBgL.00	[M]Malignant lymphoma, small lymphocytic NOS
BBgM.00	[M]Malignant lymphoma, small cleaved cell, diffuse
BBgN.00	[M]Malign lymphoma,lymphocytic,intermediate differn, diffuse
BBgP.00	[M]Malignant lymphoma, mixed small and large cell, diffuse
BBgQ.00	[M]Malignant lymphomatous polyposis
BBgR.00	[M]Malignant lymphoma, large cell, diffuse NOS
BBgS.00	[M]Malignant lymphoma, large cell, cleaved, diffuse
BBgT.00	[M]Malignant lymphoma, large cell, noncleaved, diffuse
BBgV.00	[M]Malignant lymphoma, small cell, noncleaved, diffuse
BBgz.00	[M]Lymphoma, diffuse or NOS
BBh..00	[M]Reticulosarcomas
BBh0.00	[M]Reticulosarcoma NOS
BBh0.11	[M]Reticulum cell sarcoma NOS
BBh1.00	[M]Reticulosarcoma, pleomorphic cell type
BBh2.00	[M]Reticulosarcoma, nodular
BBj..00	[M]Hodgkin's disease
BBj0.00	[M]Hodgkin's disease NOS
BBj0.11	[M]Lymphogranuloma, malignant
BBj1.00	[M]Hodgkin's disease, lymphocytic predominance
BBj1000	[M]Hodgkin,s disease, lymphocytic predominance, diffuse
BBj1100	[M]Hodgkin,s disease, lymphocytic predominance, nodular
BBj2.00	[M]Hodgkin's disease, mixed cellularity
BBj3.00	[M]Hodgkin's disease, lymphocytic depletion NOS
BBj4.00	[M]Hodgkin's disease,lymphocytic depletion,diffuse fibrosis
BBj6.00	[M]Hodgkin's disease, nodular sclerosis NOS
BBj6000	[M]Hodgkin,s disease, nodular sclerosis, lymphocytic predom
BBj6100	[M]Hodgkin,s disease, nodular sclerosis, mixed cellularity
BBj6200	[M]Hodgkin,s disease, nodular sclerosis, lymphocytic deplet
BBj7.00	[M]Hodgkin's disease, nodular sclerosis, cellular phase
BBj9.00	[M]Hodgkin's granuloma
BBjz.00	[M]Hodgkin's disease NOS
BBk..00	[M]Lymphomas, nodular or follicular
BBk0.00	[M]Malignant lymphoma, nodular NOS
BBk0.11	[M]Brill - Symmers' disease
BBk0.12	[M]Follicular lymphosarcoma NOS
BBk0.13	[M]Giant follicular lymphoma
BBk2.00	[M]Malignant lymphoma, centroblastic-centrocytic, follicular
BBk3.00	[M]Malig lymphoma, lymphocytic, well differentiated,nodular
BBk5.00	[M]Malig lymp, follicular centre cell, cleaved, follicular
BBk7.00	[M]Malignant lymphoma, centroblastic type, follicular
BBk8.00	[M]Malig lymp,follicular centre cell,noncleaved,follicular
BBkz.00	[M]Lymphoma, nodular or follicular NOS
BBl..00	[M]Mycosis fungoides
BBl0.00	[M]Mycosis fungoides
BBl1.00	[M]Sezary's disease
BBlz.00	[M]Mycosis fungoides NOS
BBm0.00	[M]Microglioma
BBm1.00	[M]Malignant histiocytosis
BBm1.11	[M]Malignant reticulosis
BBm2.00	[M]Histiocytic medullary reticulosis
BBm3.00	[M]Letterer - Siwe disease
BBm3.11	[M]Acute infancy reticulosis
BBm3.12	[M]Acute progressive histiocytosis X
BBm4.00	[M]True histiocytic lymphoma
BBm5.00	[M] Peripheral T-cell lymphoma NOS
BBm6.00	[M] Alpha heavy chain disease
BBm9.00	[M] Monocytoid B-cell lymphoma
BBmD.00	[M] Cutaneous lymphoma
BBmE.00	[M] Gamma heavy chain disease
BBmG.00	[M] Immunoproliferative small intestinal disease
BBmH.00	[M] Large cell lymphoma
BBmJ.00	[M] Angioendotheliomatosis
BBmK.00	[M]Waldenstrom's macroglobulinaemia
BBn0.00	[M]Plasma cell myeloma
BBn0.11	[M]Multiple myeloma
BBn0.12	[M]Myeloma NOS
BBn0.13	[M]Myelomatosis
BBn0.14	[M]Plasmacytic myeloma
BBn2.00	[M]Plasmacytoma NOS
BBn2.11	[M]Monostotic myeloma
BBn2.12	[M]Solitary myeloma
BBn3.00	[M]Plasma cell tumour, malignant
BBp1.00	[M]Mast cell sarcoma
BBp2.00	[M]Malignant mastocytosis
BBq..00	[M]Burkitt's tumours
BBr..00	[M]Leukaemias
BBr0.00	[M]Leukaemias unspecified
BBr0000	[M]Leukaemia NOS
BBr0100	[M]Acute leukaemia NOS
BBr0111	[M]Blast cell leukaemia
BBr0112	[M]Blastic leukaemia
BBr0113	[M]Stem cell leukaemia
BBr0200	[M]Subacute leukaemia NOS
BBr0300	[M]Chronic leukaemia NOS
BBr0400	[M]Aleukaemic leukaemia NOS
BBr0z00	[M]Leukaemia unspecified, NOS
BBr2.00	[M]Lymphoid leukaemias
BBr2000	[M]Lymphoid leukaemia NOS
BBr2011	[M]Lymphatic leukaemia
BBr2100	[M]Acute lymphoid leukaemia
BBr2300	[M]Chronic lymphoid leukaemia
BBr2500	[M]Prolymphocytic leukaemia
BBr2600	[M]Burkitt's cell leukaemia
BBr2700	[M]Adult T-cell leukaemia/lymphoma
BBr3.00	[M]Plasma cell leukaemias
BBr3000	[M]Plasma cell leukaemia
